model,strategy,run_id,model_key,preset,evaluation_split,eval_size,eval_per_label,max_new_tokens,do_sample,temperature,top_p,repetition_penalty,k_shots,k_per_label,fewshot_strategy,max_question_chars,max_answer_chars,max_context_chars,enable_thinking,generator_backend,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate,prompt_chars_mean,prompt_chars_max,truth_clear_reply,truth_ambivalent,truth_clear_non_reply,truth___invalid__,pred_clear_reply,pred_ambivalent,pred_clear_non_reply,pred___invalid__,majority_label,majority_accuracy,accuracy_minus_majority,valid_rate,parse_single_mention
Qwen/Qwen3.5-4B,few-shot,qwen-4b_few-shot,qwen-4b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.4666666666666667,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.4666666666666667,0.4666666666666667,0.0,4799.4,5318,10,10,10,0,10,10,10,0,Clear Non-Reply,0.3333333333333333,0.13333333333333336,1.0,30
Qwen/Qwen3.5-4B,self-check,qwen-4b_self-check,qwen-4b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.4666666666666667,0.46388888888888885,0.4666666666666666,0.46262626262626255,0.4626262626262626,0.4666666666666667,0.0,4867.4,5386,10,10,10,0,12,8,10,0,Clear Non-Reply,0.3333333333333333,0.13333333333333336,1.0,30
Qwen/Qwen3.5-4B,zero-shot,qwen-4b_zero-shot,qwen-4b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.4666666666666667,0.5101851851851852,0.46666666666666673,0.4626180836707152,0.4626180836707153,0.4666666666666667,0.0,1457.4,1976,10,10,10,0,9,16,5,0,Clear Non-Reply,0.3333333333333333,0.13333333333333336,1.0,30
Qwen/Qwen3.5-0.8B,few-shot,qwen-0.8b_few-shot,qwen-0.8b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.4666666666666667,0.6859903381642511,0.4666666666666666,0.4090909090909091,0.4090909090909091,0.4666666666666667,0.0,4799.4,5318,10,10,10,0,23,1,6,0,Clear Non-Reply,0.3333333333333333,0.13333333333333336,1.0,30
Qwen/Qwen3.5-2B,few-shot,qwen-2b_few-shot,qwen-2b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.5,0.4166666666666667,0.5,0.4044117647058824,0.40441176470588236,0.5,0.0,4799.4,5318,10,10,10,0,24,0,6,0,Clear Non-Reply,0.3333333333333333,0.16666666666666669,1.0,30
Qwen/Qwen3.5-4B,cot,qwen-4b_cot,qwen-4b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.43333333333333335,0.3871794871794872,0.4333333333333333,0.40017566974088714,0.4001756697408871,0.43333333333333335,0.0,4879.4,5398,10,10,10,0,13,5,12,0,Clear Non-Reply,0.3333333333333333,0.10000000000000003,1.0,30
Qwen/Qwen3.5-0.8B,self-check,qwen-0.8b_self-check,qwen-0.8b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.43333333333333335,0.48412698412698413,0.43333333333333335,0.3844613114062829,0.384461311406283,0.43333333333333335,0.0,4867.4,5386,10,10,10,0,21,2,7,0,Clear Non-Reply,0.3333333333333333,0.10000000000000003,1.0,30
Qwen/Qwen3.5-0.8B,cot,qwen-0.8b_cot,qwen-0.8b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.4666666666666667,0.36853002070393376,0.4666666666666666,0.37789661319073087,0.3778966131907308,0.4666666666666667,0.0,4879.4,5398,10,10,10,0,23,0,7,0,Clear Non-Reply,0.3333333333333333,0.13333333333333336,1.0,30
Qwen/Qwen3.5-2B,zero-shot,qwen-2b_zero-shot,qwen-2b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.4666666666666667,0.4000000000000001,0.4666666666666666,0.3682539682539683,0.3682539682539682,0.4666666666666667,0.0,1457.4,1976,10,10,10,0,25,0,5,0,Clear Non-Reply,0.3333333333333333,0.13333333333333336,1.0,30
Qwen/Qwen3.5-2B,cot,qwen-2b_cot,qwen-2b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.43333333333333335,0.3833333333333333,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.0,4879.4,5398,10,10,10,0,25,1,4,0,Clear Non-Reply,0.3333333333333333,0.10000000000000003,1.0,30
Qwen/Qwen3.5-2B,self-check,qwen-2b_self-check,qwen-2b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.43333333333333335,0.3782051282051282,0.43333333333333335,0.3280423280423281,0.3280423280423281,0.43333333333333335,0.0,4867.4,5386,10,10,10,0,26,0,4,0,Clear Non-Reply,0.3333333333333333,0.10000000000000003,1.0,30
Qwen/Qwen3.5-0.8B,zero-shot,qwen-0.8b_zero-shot,qwen-0.8b,full,validation,30,10,48,False,0.0,1.0,1.0,3,1,balanced,300,900,500,False,auto,0.36666666666666664,0.4482758620689655,0.3666666666666667,0.23154623154623155,0.23154623154623152,0.36666666666666664,0.0,1457.4,1976,10,10,10,0,29,0,1,0,Clear Non-Reply,0.3333333333333333,0.033333333333333326,1.0,30
