,qwen-0.8b_zero-shot,qwen-0.8b_few-shot,qwen-0.8b_cot,qwen-0.8b_self-check,qwen-2b_zero-shot,qwen-2b_few-shot,qwen-2b_cot,qwen-2b_self-check,qwen-4b_zero-shot,qwen-4b_few-shot,qwen-4b_cot,qwen-4b_self-check
qwen-0.8b_zero-shot,1.0,0.75,0.75,0.7142857142857143,0.75,0.7,0.8,0.8,0.4,0.4,0.5652173913043478,0.4583333333333333
qwen-0.8b_few-shot,0.75,1.0,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.7368421052631579,0.7368421052631579,0.5238095238095238,0.45454545454545453,0.5714285714285714,0.5238095238095238
qwen-0.8b_cot,0.75,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778,0.7222222222222222,0.7368421052631579,0.7368421052631579,0.391304347826087,0.5238095238095238,0.7368421052631579,0.6
qwen-0.8b_self-check,0.7142857142857143,0.8333333333333334,0.8333333333333334,1.0,0.65,0.6,0.6190476190476191,0.6190476190476191,0.43478260869565216,0.5,0.6190476190476191,0.5714285714285714
qwen-2b_zero-shot,0.75,0.7777777777777778,0.7777777777777778,0.65,1.0,0.9375,0.8333333333333334,0.8333333333333334,0.45454545454545453,0.45454545454545453,0.5714285714285714,0.45454545454545453
qwen-2b_few-shot,0.7,0.7222222222222222,0.7222222222222222,0.6,0.9375,1.0,0.8823529411764706,0.8823529411764706,0.4090909090909091,0.47619047619047616,0.6,0.47619047619047616
qwen-2b_cot,0.8,0.7368421052631579,0.7368421052631579,0.6190476190476191,0.8333333333333334,0.8823529411764706,1.0,1.0,0.43478260869565216,0.5,0.6190476190476191,0.5
qwen-2b_self-check,0.8,0.7368421052631579,0.7368421052631579,0.6190476190476191,0.8333333333333334,0.8823529411764706,1.0,1.0,0.43478260869565216,0.5,0.6190476190476191,0.5
qwen-4b_zero-shot,0.4,0.5238095238095238,0.391304347826087,0.43478260869565216,0.45454545454545453,0.4090909090909091,0.43478260869565216,0.43478260869565216,1.0,0.6842105263157895,0.5,0.6
qwen-4b_few-shot,0.4,0.45454545454545453,0.5238095238095238,0.5,0.45454545454545453,0.47619047619047616,0.5,0.5,0.6842105263157895,1.0,0.7368421052631579,0.7777777777777778
qwen-4b_cot,0.5652173913043478,0.5714285714285714,0.7368421052631579,0.6190476190476191,0.5714285714285714,0.6,0.6190476190476191,0.6190476190476191,0.5,0.7368421052631579,1.0,0.8333333333333334
qwen-4b_self-check,0.4583333333333333,0.5238095238095238,0.6,0.5714285714285714,0.45454545454545453,0.47619047619047616,0.5,0.5,0.6,0.7777777777777778,0.8333333333333334,1.0
